Name,Link
"Alvarez, Francisco",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=7205
"Alvarez Bravo, Manuel",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=16466
Alvise dal Friso,https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=25316
"Alward, Linnet",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=7206
"Amadei, Amadio",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2003
"Amadei, Filippo",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=24038
"Amadeo, Giovanni Antonio",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2002
"Amand, Jacques-François",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=22884
"Aman-Jean, Edmond",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2893
"Aman-Jean, Edmond-François",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2893
"Amann, Hans",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=20003
"Amantea, Nicholas",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=7207
"Amantius, Bartholomeus",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=34758
"Amato, Francesco",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=6954
Ambrogio da Fossano,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=985
"Amedei, Amadio, called Amadio da Milano",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2003
"Amello, Nancy",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=10177
"Amen, Irving",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=26214
"Amenoff, Gregory",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=23735
American 18th Century,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2818
American 19th Century,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=1942
American 20th Century,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2819
"Amero, Emilio",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2894
"Ames, Ezra",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=80
"Ames, Joseph Alexander",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=85
"Amico, Bernardino",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=6965
"Amiconi, Santiago",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=5863
"Amiet, Cuno",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=14330
"Amigoni, Jacopo",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=5863
"Amling, Carl Gustav",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=20710
"Amling, Karl Gustav von",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=20710
"Amman, Jobst",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2347
"Amman, Jost",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=2347
"Ammon, Klemens",https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=6165
Amsler & Ruthardt,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=30923
Anacreon,https://web.archive.org/web/20120921180230/http://www.nga.gov/cgi-bin/tsearch?artistid=6966
"Anastasi, William",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=22097
"Anchel, Harold",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=33119
"Ancourt, Edouard",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=22920
"Anderle, Jirí",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=2895
"Andersen, Niels Yde",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=2896
"Anderson, Alexander",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=7208
"Anderson, Alfred Charles Stanley",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=2898
"Anderson, Carlos",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=33120
"Anderson, Clarence William",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=2897
"Anderson, Elmer G.",https://web.archive.org/web/20120921180344/http://www.nga.gov/cgi-bin/tsearch?artistid=7209
